TRANSPORTISTA,CD,FECHA,SEMANA,MES ,PLACAS,FUENTE,REPORTE,SISTEMA,ESTADO,CRITICIDAD,FECHA SOLUCIÓN,DÍAS DE CIERRE,DÍAS PARA CIERRE,CUMPLIMIENTO MTTO COR,META,META RT,PORCENTAJE DE RESPUESTA TALLER,OBSERVACIONES,EVIDENCIAS ANTES,EVIDENCIAS DESPUES
Logisticos,Galapa,20/3/2026,12,Marzo,COVEL587,Checklist T2,Carpa en mal estado llanta de repuesto dañada,CARPAS/ESTERAS,Cerrado,2,3/21/2026,1.00,14,100%,80%,50%,93%,,,
Logisticos,Galapa,20/3/2026,12,Marzo,COLJS617,Checklist T2,Retrovisor partido lado derecho,ESPEJOS Y VIDRIOS,Cerrado,1,3/21/2026,1.00,0,100%,80%,50%,100%,,,
Logisticos,Galapa,20/3/2026,12,Marzo,COVEN060,Checklist T2,Retrovisores no sirven si ya l auxiliar en mal estado llanta izquierda de la parte de afuera rajada,LLANTAS,Cerrado,3,3/23/2026,3.00,27,100%,80%,50%,90%,,,
Logisticos,Galapa,20/3/2026,12,Marzo,COVEK729,Checklist T2,Llanta trasera derecha en regular estado,LLANTAS,Cerrado,3,3/22/2026,2.00,28,100%,80%,50%,93%,,,
Logisticos,Galapa,17/2/2026,8,Febrero,COVCN100,Checklist T2,No tiene tapa del tanque de acpm,OTRA,Cerrado,0,2/20/2026,,,,80%,,,,,
Logisticos,Galapa,20/3/2026,12,Marzo,COVEL588,Checklist T2,Carro sin la perilla para subir el vidrio del lado del conductor ATENCIÓN POR SEGURIDAD.. Defensas delantera y trasera rotas y golpeadas.. RETROVISOR DEL LADO DEL CONDUCTOR INESTABLE REPARAR,GOLPES Y RAYONES,Cerrado,3,3/21/2026,1.00,29,100%,80%,50%,97%,,,
Logisticos,Galapa,20/3/2026,12,Marzo,COLCM500,Checklist T2,Defensa se esta callendo,GOLPES Y RAYONES,Cerrado,3,3/22/2026,2.00,28,100%,80%,50%,93%,,,
Logisticos,Galapa,23/1/2026,4,Enero,COXMC227,Checklist T2,"Nota, el vehículo presento falla en el sistema de embrague el fue intervenido por un mecánico qué mando el jefe de ruta y así pudimos entrar a la empresa",EMBRAGUE,Cerrado,2,1/26/2026,3.00,12,100%,80%,50%,80%,,,
Logisticos,Galapa,20/3/2026,12,Marzo,COVCL944,Checklist T2,El cinturón del lado del copiloto no sirve las luces están enal estado,ELÉCTRICO,Cerrado,1,3/22/2026,2.00,-1,0%,80%,50%,0%,,,
Logisticos,Galapa,20/3/2026,12,Marzo,COVEN060,Checklist T2,Ojo con esa carpa necesita intervención hoy me dejó cansado,CARPAS/ESTERAS,Cerrado,2,3/22/2026,2.00,13,100%,80%,50%,87%,,,
Logisticos,Galapa,20/3/2026,12,Marzo,COVCM617,Checklist T2,"Escalapie lado derecho ,base caída",CARROCERÍA BOTELLERA,Cerrado,2,3/21/2026,1.00,14,100%,80%,50%,93%,,,
